no;schid;ses;byhomewk;math;male;minority;mses;mhmwk
1;1;-0.035;7;40.14;0;0;-0.022136364;5.090909091
2;1;-1.672;8;58.22;0;0;-0.022136364;5.090909091
3;1;-1.02;4;44.11;0;1;-0.022136364;5.090909091
4;1;-0.239;4;45.45;1;0;-0.022136364;5.090909091
5;1;-0.807;4;43.57;1;0;-0.022136364;5.090909091
6;1;1.421;7;54.97;1;0;-0.022136364;5.090909091
7;1;1.042;7;67.85;1;0;-0.022136364;5.090909091
8;1;1.155;4;48.48;1;1;-0.022136364;5.090909091
9;1;1.421;5;46.14;1;0;-0.022136364;5.090909091
10;1;-1.295;4;45.63;0;1;-0.022136364;5.090909091
11;1;1.33;8;77.2;0;0;-0.022136364;5.090909091
12;1;-1.672;4;51.32;1;0;-0.022136364;5.090909091
13;1;-0.035;3;50.23;1;0;-0.022136364;5.090909091
14;1;-1.672;7;46.14;0;0;-0.022136364;5.090909091
15;1;1.33;5;40.14;0;0;-0.022136364;5.090909091
16;1;-0.723;4;39.6;0;0;-0.022136364;5.090909091
17;1;1.421;7;66.87;1;1;-0.022136364;5.090909091
18;1;-0.239;3;48.48;1;0;-0.022136364;5.090909091
19;1;1.155;5;66.87;1;0;-0.022136364;5.090909091
20;1;-0.723;4;44.11;0;0;-0.022136364;5.090909091
21;1;1.042;4;40.83;1;0;-0.022136364;5.090909091
22;1;-1.672;4;40.83;0;1;-0.022136364;5.090909091
23;2;-0.473;3;46.02;0;0;0.3445;4.090909091
24;2;-0.094;4;48.67;1;0;0.3445;4.090909091
25;2;0.426;3;47.38;0;0;0.3445;4.090909091
26;2;-0.368;4;48.67;0;0;0.3445;4.090909091
27;2;0.462;4;41.32;0;0;0.3445;4.090909091
28;2;-0.286;4;50.46;0;0;0.3445;4.090909091
29;2;0.409;4;48.67;0;0;0.3445;4.090909091
30;2;-0.182;4;40.06;0;0;0.3445;4.090909091
31;2;0.409;4;46.02;0;0;0.3445;4.090909091
32;2;-0.473;4;46.02;0;1;0.3445;4.090909091
33;2;0.462;4;50.08;0;0;0.3445;4.090909091
34;2;1.381;3;61.5;1;0;0.3445;4.090909091
35;2;1.125;3;70.17;1;0;0.3445;4.090909091
36;2;1.209;3;62.49;1;0;0.3445;4.090909091
37;2;-0.094;5;70.04;1;0;0.3445;4.090909091
38;2;0.76;4;49.55;0;0;0.3445;4.090909091
39;2;0.889;4;62.49;0;0;0.3445;4.090909091
40;2;1.037;7;61.5;1;0;0.3445;4.090909091
41;2;-0.473;4;35.43;0;0;0.3445;4.090909091
